"Year","effort","effort_mil"
1981,12153207,12.153207
1982,13959437,13.959437
1983,15575896,15.575896
1984,17381218,17.381218
1985,15721482,15.721482
1986,15151797,15.151797
1987,15996215,15.996215
1988,17415848,17.415848
1989,18180749,18.180749
1990,18805128,18.805128
1991,20060189,20.060189
1992,19728615,19.728615
1993,20884491,20.884491
1994,20667141,20.667141
1995,21438831,21.438831
1996,21581296,21.581296
1997,23051700,23.0517
1998,23542661,23.542661
1999,25458126,25.458126
2000,25134217,25.134217
2001,27400789,27.400789
2002,26194520,26.19452
2003,27402409,27.402409
2004,31216474,31.216474
2005,29125468,29.125468
2006,27599355,27.599355
2007,28500182,28.500182
2008,31396785,31.396785
2009,29470384,29.470384
2010,30564725,30.564725
2011,30520974,30.520974
2012,32793734,32.793734
2013,30782301,30.782301
2014,22382565,22.382565
2015,20423597,20.423597
2016,21626272,21.626272
2017,22171238,22.171238
2018,20686102,20.686102
2019,18416940,18.41694
2020,20564592,20.564592
2021,20018593,20.018593
